txid,timestamp,iat,amount_log,ring_size,txs_per_day,hour
83243469795eedccc0aa9f70ae9846a98a9b74fd836930775307851ef194c7f8,1517489351,0.0,-0.5218214139819536,143719,0.18318219535603197,12
8aa1c4b5ccab1632ee0c1b82b94dd28bda432142dfe07aadcf526724a9c9ba9e,1517489517,166.0,-1.5665044645165658,143718,1.987143122752782,12
8eada230b5c86bda537736bf416ac2d737b791aa33f55477bf148a0960255e94,1517489551,34.0,1.9901944678367574,143717,-0.537720582812697,12
65db8f66ff5da843dd5a54cb1f8cf1434adce7c7bfbdf85618fe53e57ec18f1e,1517489707,156.0,-2.768436326060829,143716,3.9509000261152245,12
11600c2362989b2b347f1e0478b44fc0134f256c463b2af0f454e2e2f46c3c72,1517489729,22.0,1.0384910804508836,143715,5.804462130107613,12
defc4a33b98c34ef318758cdc63b8c87e98c69747610de9b63553dcc374a6964,1517489850,121.0,1.0684054589351513,143714,6.793117629162832,12
ede0d5d3481551d4c19d8820bc8bfeb980fa7cbbdeb5ae518df16988b68b969d,1517489856,6.0,-1.9349679260708703,143713,5.4162706111280015,12
f9b5d93dde067dd70a390be09cbb0fd536c5ee528da48899e51b6b403cba3875,1517489925,69.0,-0.644918066768183,143712,8.035544429680307,12
f739293bd042402af57904306d47e5cd4f8b900760487658cc4f343e5aee71ee,1517490050,125.0,-0.1637642258827589,143711,9.319924470055513,13
05f3952bb7c8a3bd03fc64bae9cfde4c553353e8415a44ae60a0ff9e36d1e609,1517490088,38.0,-0.9283331827076561,143710,9.47688707429942,13
9eba2237ba16f35d2dd3dd746bf4b9573e778b52933b23dfbe5c9b38c561327c,1517490097,9.0,0.7217479213659778,143709,10.461559562485398,13
c0bae71b3395e1c2186518e29629023aa0816c3c8f5638ad7db66f87d83062ce,1517490219,122.0,-0.17321187985172226,143708,11.10034749107734,13
beae25ee86e3571c3f798f9cb35aa479947d9e9a6671e9e7de4223d6b51a948b,1517490244,25.0,1.4063728702998421,143707,14.401706399035378,13
e0b409d4a236d46be687eb6f94230df2a8c9b20d768a593dba41a62a94887bde,1517490273,29.0,1.3255248485766686,143706,12.327036825087111,13
414f53346d869e2ea67952827054b3135cff451610a03d21dd85c43d444867de,1517490535,262.0,-0.32271197902391324,143705,15.16614278022735,13
58f2c2997713ae92026dc9d708c11ea9510bc6e7f8ccad16ec18919d114b5b46,1517490561,26.0,-0.24056673265735032,143704,14.865918591712152,13
8583534b8b801ddb9f6527a6ca03c5d2dee910cf4420bc0a5d25c37411c9959d,1517490585,24.0,0.3891232632739092,143703,16.980966834583747,13
6e9784a71586ac97cb932892daa5b0efa532a216d93eefdf2407b71d9e6f1250,1517490615,30.0,0.25798085004791044,143702,17.658994893698445,13
70a9ab323c04f8334ff573645cc869b25014867eee9eb702a1cd78493266d2ed,1517490692,77.0,0.8347977715052369,143701,19.01983651731805,13
a06e924bb42de6bfd3dbac925bad5b5660f4cae39f8ed56dae34ce98449dea0e,1517490725,33.0,0.1362786369097513,143700,20.36026522402212,13
effb4889941b6c8beabd12dd9e6b55778c9b285d0d422b0bf903627f21b8725b,1517491236,511.0,2.9619314580035603,143699,21.63169078702342,13
25bf22c4b55dfecd403a84faf57301c4965711574652da5a2030704e635f2e92,1517491278,42.0,-0.6674808357315813,143698,25.291775309142004,13
e9d97e9861f17d64a8ea5c0ec9814eaddfdf4003c25ecdc19d61500b675290ce,1517491373,95.0,0.0245829468565878,143697,20.953102320639807,13
7dfccda9fe5e89de78d09c5392fb07cbb5b5400071aa0527935448b1930324ac,1517491388,15.0,-0.15532144597102288,143696,24.55134342613618,13
bb223f991c1fd6b16860349de495e5cb10f1a403882c0886869aebded712ab47,1517491459,71.0,0.25131241813356775,143695,25.537477970385066,13
b232aa8dc39ee04007cc01941dd6e52b9c097bb1c38ce718cc27d0703efc137d,1517491489,30.0,0.3433021379208471,143694,24.43779726287585,13
89336f0ec982b138145a753ebc21b111a6f0a66a28e6f31df20ce2461f9077ba,1517491528,39.0,-1.0885818836692234,143693,29.059361195149844,13
b17398e55cbc74f2a17c0216520ca54c13d52f0020fd3ebceda136bc6c0c6ceb,1517491531,3.0,0.09150846322457011,143692,28.125563129584798,13
45e18f39ee99a6af5f9276a66172c465cbadb14cb2aee4cf9f2fd4c04850fcd8,1517491861,330.0,-0.09876166709937198,143691,28.722760067124376,13
f0ea5c06635a2396b02c21cdcdfe89fa7b34e4d0f0306dd537e9219a2654039c,1517491872,11.0,-0.2684267241106918,143690,28.233691215863253,13
564d3b0e0722a1419b80837af53ca582caa9f1c06f00993e25af8519209049fb,1517492140,268.0,-1.5330741189690504,143689,30.69862105133043,13
1e831cd387d8b698d4ec79572b1ee22a59eb99433359550d8dac03d1854c9eae,1517492272,132.0,0.396896736386689,143688,32.39314421406638,13
fdd2064fd1d038a9d3a6ebbb40bb3138a7fac760632e55538aec197a059a169d,1517492339,67.0,-2.041155808041246,143687,31.04088597922721,13
e70db3149036713add04a20e4b6d8d73a7cf88382ab607c53469d8965febd8d3,1517492409,70.0,0.3929005390455278,143686,34.34022031388413,13
4fbe14a6dd80c1173263733b53222b8e1ec167c81fd6b8052948fcb6861c5dce,1517492726,317.0,-0.08478757151079062,143685,35.411633033114235,13
d3922abdc8bbc961b55a792d81ffea41549789fa63274bfbb17080bdbcd5cb2b,1517492902,176.0,-0.5809648307456943,143684,35.68871756223478,13
2254c58e9d86178f6652a952a2899f45458c2fbacd3d86e396bc1574d0836544,1517492938,36.0,2.4503439523004817,143683,37.56457075606745,13
ba4657538947f6f9114e72bdcdf10cc86afe9de2bd7a3eb4457a92fdfb97ada4,1517492950,12.0,-0.11453350083991662,143682,38.65712765291453,13
77492bdb0691b95c5dbb8d759e2e3e910669af58a347c2f1e2bbbc1213190219,1517493102,152.0,0.5451708903771324,143681,39.04195527267703,13
b2f9ac4b2bbd639c20c37825dad73b335e91d20a555c987bfdfc70e45a3ff92c,1517493240,138.0,0.0003630892046185502,143680,40.719314960711365,13
1b328027dca9dc3e083c6ec04d38b0ce8d12170837ab9e3f4984f706f5457cd2,1517493243,3.0,-0.6674534528472109,143679,40.64933225791612,13
66aade5839cf0826a359142dec01163396c61fcaf75fe21aea7dc828d9171ba5,1517493336,93.0,-0.11133923003848994,143678,41.35126636314769,13
218d56dbcadf29de19fb26d33867a7bcbaac86796e15571239d719e77552d5c9,1517493477,141.0,-0.7910400607419136,143677,45.15142249137666,13
4f20a3bc376b09487b9beb7cc0df1b20356eeb4de3b983726957706963b1c1f8,1517493557,80.0,-1.5263250659817666,143676,46.79433466692075,13
be3fa7c22cf375912040195bf2fdba690f02f8f0ed25e8093b24b1a943452082,1517493561,4.0,-0.09696570960056733,143675,45.22029082089555,13
99495ee913fc4973218c5b6764e2d209ab6fd61c97eab7298aafdaaafdab31f7,1517493777,216.0,0.8026694613593819,143674,47.87948513841292,14
